Report Written:,"12:39 Saturday, February 07, 2026",,,,,,,,
Project Path:,E:\Er.Vijay_Kushwah\PCB\designspark - Copy\PGS_Controller.prj,,,,,,,,
Design Path:,E:\Er.Vijay_Kushwah\PCB\designspark - Copy\PGS_Controller.pcb,,,,,,,,
Design Title:,,,,,,,,,
Created:,03-12-2025 17.41,,,,,,,,
Last Saved:,04-02-2026 21.21,,,,,,,,
Editing Time:,1977 min,,,,,,,,
Units:,mm (precision 1),,,,,,,,
,,,,,,,,,
Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,,,,,
--------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
